% Edge sensor logfile log_20240301_171536.564/log_edge.txt
% 	Calib white 198 345 561 652 714 726 681 594
% 	Calib black 106 125 123 105 109 117 111 105
% 	White threshold (of 1000) 700 
% 1 	Time (sec)
% 2 	Edge valid
% 3 	Left edge position(m)
% 4 	Right edge position (m)
% 5 	Line width (m)
1709309740.7347 1 0.048 0.006 0.0422
1709309740.7426 1 0.048 0.006 0.0419
1709309740.7506 1 0.048 0.006 0.0423
1709309740.7588 1 0.048 0.006 0.0423
1709309740.7671 1 0.048 0.006 0.0422
1709309740.7744 1 0.048 0.006 0.0424
1709309740.7832 1 0.048 0.006 0.0420
1709309740.7913 1 0.048 0.005 0.0429
1709309740.7993 1 0.048 0.004 0.0437
1709309740.8069 1 0.048 0.004 0.0440
1709309740.8152 1 0.048 0.004 0.0435
1709309740.8230 1 0.048 0.003 0.0446
1709309740.8313 1 0.048 0.004 0.0442
1709309740.8392 1 0.048 0.004 0.0444
1709309740.8473 1 0.048 0.003 0.0447
1709309740.8547 1 0.048 0.004 0.0444
1709309740.8630 1 0.048 0.004 0.0443
1709309740.8709 1 0.048 0.003 0.0450
1709309740.8794 1 0.048 0.004 0.0442
1709309740.8867 1 0.048 0.003 0.0445
1709309740.8950 1 0.048 0.002 0.0451
1709309740.9031 1 0.046 0.002 0.0443
1709309740.9114 1 0.046 0.002 0.0439
1709309740.9191 1 0.046 0.001 0.0442
1709309740.9273 1 0.044 0.001 0.0430
1709309740.9344 1 0.044 0.001 0.0429
1709309740.9427 1 0.044 0.002 0.0422
1709309740.9509 1 0.044 0.001 0.0422
1709309740.9591 1 0.043 0.001 0.0423
1709309740.9663 1 0.041 0.001 0.0408
1709309740.9745 1 0.042 -0.000 0.0418
1709309740.9824 1 0.041 -0.000 0.0411
1709309740.9908 1 0.040 -0.000 0.0398
1709309740.9989 1 0.038 -0.001 0.0390
1709309741.0071 1 0.036 -0.001 0.0370
1709309741.0148 1 0.035 -0.001 0.0360
1709309741.0238 1 0.034 -0.002 0.0365
1709309741.0309 1 0.033 -0.003 0.0359
