% Edge sensor logfile normalized 'log_20240301_170042.319/log_edge_normalized.txt'
% 1 	Time (sec)
% 2..9 	Sensor value in 0..1000 scale for black to white
% 10 	Line width (m)
1709308845.4246 0 0 579 1000 773 193 0 0  0.0315
1709308845.4336 0 0 625 1000 763 172 0 0  0.0327
1709308845.4412 0 0 659 1000 737 139 0 0  0.0333
1709308845.4495 0 0 707 1000 720 123 0 0  0.0350
1709308845.4576 0 0 716 1000 690 113 0 0  0.0341
1709308845.4652 0 0 735 1000 662 87 0 0  0.0332
1709308845.4734 0 0 776 1000 647 75 0 0  0.0334
1709308845.4816 0 31 812 1000 618 44 0 0  0.0331
1709308845.4890 0 109 844 1000 568 14 0 0  0.0324
1709308845.4972 0 254 926 1000 552 0 0 0  0.0344
1709308845.5054 0 304 995 1000 510 0 0 0  0.0350
1709308845.5130 0 422 1000 1000 452 0 0 0  0.0354
1709308845.5211 0 645 1000 1000 413 0 0 0  0.0404
1709308845.5294 0 804 1000 1000 363 0 0 0  0.0446
1709308845.5367 0 877 1000 967 325 0 0 0  0.0449
1709308845.5449 0 981 1000 930 287 0 0 0  0.0453
1709308845.5529 0 1000 1000 899 269 0 0 0  0.0448
1709308845.5607 0 1000 1000 872 234 0 0 0  0.0441
1709308845.5689 0 1000 1000 844 208 0 0 0  0.0433
1709308845.5771 0 1000 1000 804 183 0 0 0  0.0423
1709308845.5854 0 1000 1000 782 140 0 0 0  0.0416
1709308845.5936 0 1000 1000 687 119 0 0 0  0.0387
1709308845.6016 152 1000 1000 667 89 0 0 0  0.0387
1709308845.6094 206 1000 1000 599 36 0 0 0  0.0364
1709308845.6176 413 1000 1000 564 8 0 0 0  0.0377
1709308845.6247 641 1000 1000 542 0 0 0 0  0.0427
1709308845.6342 532 1000 1000 497 0 0 0 0  0.0384
1709308845.6410 630 1000 1000 480 0 0 0 0  0.0409
1709308845.6492 760 1000 1000 484 0 0 0 0  0.0443
1709308845.6570 717 1000 1000 473 0 0 0 0  0.0440
1709308845.6651 739 1000 1000 455 0 0 0 0  0.0437
1709308845.6733 793 1000 1000 429 0 0 0 0  0.0433
1709308845.6811 1000 1000 1000 396 0 0 0 0  0.0428
1709308845.6887 1000 1000 1000 352 0 0 0 0  0.0422
1709308845.6969 1000 1000 1000 352 0 0 0 0  0.0422
1709308845.7046 1000 1000 1000 374 0 0 0 0  0.0425
1709308845.7129 1000 1000 1000 380 0 0 0 0  0.0426
1709308845.7210 1000 1000 1000 380 0 0 0 0  0.0426
1709308845.7287 1000 1000 1000 413 0 0 0 0  0.0430
1709308845.7373 1000 1000 1000 416 0 0 0 0  0.0431
1709308845.7455 1000 1000 1000 396 0 0 0 0  0.0428
1709308845.7532 1000 1000 1000 416 0 0 0 0  0.0431
1709308845.7614 945 1000 1000 413 0 0 0 0  0.0430
1709308845.7696 869 1000 1000 431 0 0 0 0  0.0433
1709308845.7768 793 1000 1000 478 0 0 0 0  0.0441
1709308845.7856 641 1000 1000 466 0 0 0 0  0.0411
1709308845.7927 543 1000 1000 493 0 0 0 0  0.0385
1709308845.8015 467 1000 1000 530 0 0 0 0  0.0377
1709308845.8097 413 1000 1000 537 0 0 0 0  0.0370
1709308845.8167 336 1000 1000 568 4 0 0 0  0.0368
1709308845.8252 76 1000 1000 590 31 0 0 0  0.0353
1709308845.8340 54 1000 1000 621 44 0 0 0  0.0361
1709308845.8412 21 1000 1000 628 62 0 0 0  0.0362
1709308845.8488 0 1000 1000 661 77 0 0 0  0.0375
1709308845.8570 0 1000 1000 681 85 0 0 0  0.0384
1709308845.8651 0 1000 1000 703 112 0 0 0  0.0395
1709308845.8736 0 1000 1000 734 148 0 0 0  0.0404
1709308845.8814 0 1000 1000 780 181 0 0 0  0.0417
1709308845.8891 0 927 1000 775 200 0 0 0  0.0407
1709308845.8968 0 877 1000 820 236 0 0 0  0.0413
1709308845.9052 0 850 1000 888 294 0 0 0  0.0427
1709308845.9132 0 745 1000 903 322 0 0 0  0.0413
1709308845.9211 0 654 1000 946 376 0 0 0  0.0394
1709308845.9291 0 540 1000 990 416 0 0 0  0.0370
1709308845.9369 0 431 968 1000 434 0 0 0  0.0348
1709308845.9452 0 327 920 1000 489 0 0 0  0.0336
1709308845.9534 0 236 890 1000 543 0 0 0  0.0334
1709308845.9613 0 150 847 1000 595 27 0 0  0.0335
1709308845.9690 0 113 837 1000 626 45 0 0  0.0341
1709308845.9772 0 22 812 1000 656 75 0 0  0.0345
1709308845.9850 0 0 732 1000 666 90 0 0  0.0333
1709308845.9927 0 0 682 1000 685 142 0 0  0.0325
1709308846.0017 0 0 641 1000 732 172 0 0  0.0324
1709308846.0087 0 0 575 1000 737 185 0 0  0.0304
1709308846.0168 0 0 525 1000 763 211 0 0  0.0299
1709308846.0249 0 0 511 1000 800 238 0 0  0.0307
1709308846.0337 0 0 472 990 781 234 0 0  0.0293
