% Encoder logfile
% 1 	Time (sec)
% 2,3 	enc left, right
% 4,5 	encoder change left, right
1709309487.9220 10347 10430 11 16
1709309487.9288 10362 10450 15 20
1709309487.9371 10378 10468 16 18
1709309487.9465 10389 10480 11 12
1709309487.9537 10400 10495 11 15
1709309487.9610 10416 10521 16 26
1709309487.9705 10430 10542 14 21
1709309487.9772 10441 10559 11 17
1709309487.9852 10456 10577 15 18
1709309487.9941 10469 10595 13 18
1709309488.0007 10482 10616 13 21
1709309488.0091 10496 10631 14 15
1709309488.0180 10509 10643 13 12
1709309488.0256 10524 10658 15 15
1709309488.0335 10539 10678 15 20
1709309488.0422 10557 10697 18 19
1709309488.0493 10570 10715 13 18
1709309488.0571 10582 10730 12 15
1709309488.0659 10599 10747 17 17
1709309488.0735 10612 10765 13 18
1709309488.0810 10628 10781 16 16
1709309488.0899 10643 10796 15 15
1709309488.0971 10656 10810 13 14
1709309488.1047 10670 10827 14 17
1709309488.1135 10685 10845 15 18
1709309488.1212 10702 10861 17 16
1709309488.1288 10719 10878 17 17
1709309488.1377 10735 10892 16 14
1709309488.1453 10746 10906 11 14
1709309488.1527 10762 10923 16 17
1709309488.1617 10785 10940 23 17
1709309488.1694 10797 10959 12 19
1709309488.1774 10811 10975 14 16
1709309488.1855 10825 10986 14 11
1709309488.1933 10843 11000 18 14
1709309488.2009 10861 11018 18 18
1709309488.2102 10875 11035 14 17
1709309488.2177 10890 11049 15 14
1709309488.2258 10908 11064 18 15
1709309488.2337 10926 11077 18 13
1709309488.2414 10943 11089 17 12
1709309488.2490 10957 11104 14 15
1709309488.2581 10974 11121 17 17
1709309488.2647 10990 11135 16 14
1709309488.2737 11009 11151 19 16
1709309488.2815 11025 11163 16 12
1709309488.2892 11043 11177 18 14
1709309488.2971 11060 11192 17 15
1709309488.3070 11077 11205 17 13
1709309488.3136 11096 11219 19 14
1709309488.3214 11113 11234 17 15
1709309488.3303 11133 11245 20 11
1709309488.3369 11149 11260 16 15
1709309488.3450 11168 11271 19 11
1709309488.3535 11184 11283 16 12
1709309488.3612 11201 11294 17 11
1709309488.3691 11223 11307 22 13
1709309488.3781 11242 11322 19 15
1709309488.3847 11255 11335 13 13
1709309488.3927 11276 11348 21 13
1709309488.4023 11292 11360 16 12
1709309488.4089 11310 11377 18 17
1709309488.4168 11328 11391 18 14
1709309488.4259 11344 11407 16 16
1709309488.4336 11360 11422 16 15
1709309488.4413 11378 11437 18 15
1709309488.4499 11398 11451 20 14
1709309488.4575 11414 11465 16 14
1709309488.4655 11429 11481 15 16
1709309488.4734 11445 11494 16 13
1709309488.4811 11462 11510 17 16
1709309488.4888 11479 11526 17 16
1709309488.4985 11495 11541 16 15
1709309488.5050 11509 11554 14 13
1709309488.5128 11526 11569 17 15
1709309488.5218 11541 11585 15 16
1709309488.5295 11556 11598 15 13
1709309488.5372 11572 11614 16 16
1709309488.5462 11589 11631 17 17
1709309488.5535 11604 11647 15 16
1709309488.5615 11617 11663 13 16
1709309488.5704 11631 11680 14 17
1709309488.5768 11648 11701 17 21
1709309488.5857 11663 11718 15 17
1709309488.5936 11675 11729 12 11
1709309488.6017 11690 11742 15 13
1709309488.6097 11703 11760 13 18
1709309488.6177 11718 11786 15 26
